Station,Category,Issue,Name,Details
Ostro Kutch Wind Private Limited,Control Room,Extra,Ostro Kutch Wind Private Limited,Database has a control room here; none found in Word directory
Paithan,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Paithan,Control Room,Extra,23. Paithan,Database has a control room here; none found in Word directory
Renew Power Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Renew Power Limited,Control Room,Extra,Renew Power Limited,Database has a control room here; none found in Word directory
Renew Wind Energy (AP2) Private Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Renew Wind Energy (AP2) Private Limited,Control Room,Extra,Renew Wind Energy (AP2) Private Limited,Database has a control room here; none found in Word directory
RGPPL,Control Room,Missing,Control Room,Word lists a control room here; none found in database
RGPPL,Control Room,Extra,22. RGPPL,Database has a control room here; none found in Word directory
Sherisha Raipur,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Sherisha Raipur,Control Room,Extra,Sherisha Raipur,Database has a control room here; none found in Word directory
Sitac Kabini Renewables Private Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Sitac Kabini Renewables Private Limited,Control Room,Extra,Sitac Kabini Renewables Private Limited,Database has a control room here; none found in Word directory
Solapur Solar PV Project,Control Room,Missing,CCR-Control Room,Word lists a control room here; none found in database
Solapur Solar PV Project,Control Room,Extra,CCR Control Room,Database has a control room here; none found in Word directory
Srijan Energy Systems Private Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Srijan Energy Systems Private Limited,Control Room,Extra,Srijan Energy Systems Private Limited,Database has a control room here; none found in Word directory
Tarapur Atomic Power Station Stg-1 & 2,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Tarapur Atomic Power Station Stg-1 & 2,Control Room,Extra,Tarapur Atomic Power Station Stg 1 & 2,Database has a control room here; none found in Word directory
Tarapur Atomic Power Station Stg-3 & 4,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Tarapur Atomic Power Station Stg-3 & 4,Control Room,Extra,Tarapur Atomic Power Station Stg 3 & 4,Database has a control room here; none found in Word directory
Tata Power Renewable Energy Ltd.,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Tata Power Renewable Energy Ltd.,Control Room,Extra,Tata Power Renewable Energy Ltd.,Database has a control room here; none found in Word directory
Tons,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Tons,Control Room,Extra,7. Tons,Database has a control room here; none found in Word directory
TP Saurya Limited Unit-1,Control Room,Missing,RUMSL Unit-1 Site Control Room,Word lists a control room here; none found in database
TP Saurya Limited Unit-1,Control Room,Extra,RUMSL Unit 1 Site Control Room,Database has a control room here; none found in Word directory
TP Saurya Limited Unit-2,Control Room,Missing,RUMSL Unit-2 Site Control Room,Word lists a control room here; none found in database
TP Saurya Limited Unit-2,Control Room,Extra,RUMSL Unit 2 Site Control Room,Database has a control room here; none found in Word directory
Trombay,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Trombay,Control Room,Extra,21.Trombay,Database has a control room here; none found in Word directory
Uran,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Uran,Control Room,Extra,24. Uran,Database has a control room here; none found in Word directory
Wind Five Renergy Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Wind Five Renergy Limited,Control Room,Extra,Wind Five Renergy Limited,Database has a control room here; none found in Word directory
Wind One Renergy Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Wind One Renergy Limited,Control Room,Extra,Wind One Renergy Limited,Database has a control room here; none found in Word directory
Wind Three Renergy Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Wind Three Renergy Limited,Control Room,Extra,Wind Three Renergy Limited,Database has a control room here; none found in Word directory
Wind Two Renergy Private Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Wind Two Renergy Private Limited,Control Room,Extra,Wind Two Renergy Private Limited,Database has a control room here; none found in Word directory
